"metadata_id","Date","Year","Month","Vessel","Functional_Unit","Fishing_Grounds","Survey_Code","Haul","Sample_Type","Sex","CLmm","NepCount","PredWt_Kg","fldShotLatDecimalDegrees","fldShotLonDecimalDegrees","fldHaulLatDecimalDegrees","fldHaulLonDecimalDegrees","Gear_Type","TowDurationMin","AreaKmSq"
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",26,30,0.355908110358687,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",27,28,0.367365342451383,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",28,20,0.298192322389864,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",29,8,0.135730826275188,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",30,8,0.149878195430773,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",31,5,0.102389699581273,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",32,11,0.248747370740568,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",33,12,0.298843679833933,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",34,9,0.249394085950556,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",35,13,0.392877871473833,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",36,14,0.463156524306318,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",37,11,0.396315994779634,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",38,3,0.117782876579442,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",39,9,0.381729512899954,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",40,7,0.32551727745922,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",41,4,0.196895240808334,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",42,2,0.108530013980288,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",43,9,0.523616405564275,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",44,5,0.309600423473619,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",45,8,0.535193229308408,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",46,5,0.361230116879203,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",47,1,0.0768938581427625,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",48,6,0.49047101226136,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",49,2,0.179357558894279,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",50,1,0.0951232325172563,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",51,2,0.198814561962898,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1135_19112003",2003-11-19,2003,11,"Celtic Explorer",22,"Smalls","IGFS2003",102,"Catch","Male",52,2,0.211082208346959,51.218,-6.33,51.246,-6.33,"Groundgear_A",30,0.373809132078299
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",14,1,0.0017716582032137,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",15,1,0.00247734338929671,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",16,3,0.00828606383984176,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",17,12,0.0401834332705276,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",18,15,0.0585247715167887,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",19,19,0.0888735475591721,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",20,41,0.218763956458604,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",21,39,0.235510150890343,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",22,50,0.350156908613375,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",23,30,0.236121346040804,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",24,28,0.249157048761541,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",25,24,0.239742305505611,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",26,12,0.13469603098881,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",27,9,0.11403157711114,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",28,6,0.0851346161107514,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",29,7,0.107997755995774,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",30,5,0.0855136141512167,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",31,8,0.14927065369172,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",32,2,0.0409319348257004,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
"TOUGHBOOK1136_19112003",2003-11-19,2003,11,"Celtic Explorer",22,NA,"IGFS2003",104,"Catch","Female",33,5,0.115023818710178,51.565,-6.45,51.589,-6.473,"Groundgear_A",30,0.366984331439788
